@relation 'Costa De Oro Imports Victor Castillo y Keyner Reyes'

@attribute tipo_establecimiento {Restaurante,Cafeteria,Hoteles}
@attribute frecuencia_compra_mensual numeric
@attribute ticket_promedio_cop numeric
@attribute ultima_compra_30d {Si,No}
@attribute categoria_favorita {Whisky,Ron,Tequila,Vino,Cerveza,Vodka,Mezcal,Aguardiente,Ginebras}
@attribute 'comprara_prox_mes (clase)' {Si,No}

@data
Restaurante,1,48618,Si,Whisky,Si
Cafeteria,8,87721,No,Ron,No
Hoteles,7,52914,Si,Tequila,Si
Restaurante,6,17097,No,Vino,No
Cafeteria,8,85241,Si,Cerveza,Si
Hoteles,8,43164,No,Vodka,No
Restaurante,4,83776,Si,Mezcal,Si
Cafeteria,5,84882,No,Aguardiente,No
Hoteles,5,5389,Si,Ginebras,Si
Restaurante,1,80894,No,Whisky,No
Cafeteria,5,90899,Si,Ron,Si
Hoteles,1,76552,No,Tequila,No
Restaurante,3,87400,Si,Vino,Si
Cafeteria,4,12138,No,Cerveza,No
Hoteles,7,72662,Si,Vodka,Si
Restaurante,7,46554,No,Mezcal,No
Cafeteria,7,85369,Si,Aguardiente,Si
Hoteles,8,47462,No,Ginebras,No
Restaurante,7,15779,Si,Whisky,Si
Cafeteria,3,95064,No,Ron,No
Hoteles,6,69230,Si,Tequila,Si
Restaurante,6,75848,No,Vino,No
Cafeteria,7,53699,Si,Cerveza,Si
Hoteles,2,8761,No,Vodka,No
Restaurante,2,9558,Si,Mezcal,Si
Cafeteria,7,94078,No,Aguardiente,No
Hoteles,8,76114,Si,Ginebras,Si
Restaurante,1,58910,No,Whisky,No
Cafeteria,8,59301,Si,Ron,Si
Hoteles,2,41511,No,Tequila,No
Restaurante,8,7789,Si,Vino,Si
Cafeteria,4,31452,No,Cerveza,No
Hoteles,1,61004,Si,Vodka,Si
Restaurante,8,41838,No,Mezcal,No
Cafeteria,1,40060,Si,Aguardiente,Si
Hoteles,5,47158,No,Ginebras,No
Restaurante,1,29199,Si,Whisky,Si
Cafeteria,8,65482,No,Ron,No
Hoteles,3,99874,Si,Tequila,Si
Restaurante,2,25952,No,Vino,No
Cafeteria,5,95929,Si,Cerveza,Si
Hoteles,1,33625,No,Vodka,No
Restaurante,5,38291,Si,Mezcal,Si
Cafeteria,2,10734,No,Aguardiente,No
Hoteles,7,55201,Si,Ginebras,Si
Restaurante,1,82746,No,Whisky,No
Cafeteria,6,66545,Si,Ron,Si
Hoteles,7,42386,No,Tequila,No
Restaurante,4,91900,Si,Vino,Si
Cafeteria,2,44345,No,Cerveza,No
Hoteles,1,43224,Si,Vodka,Si
Restaurante,7,44947,No,Mezcal,No
Cafeteria,3,44196,Si,Aguardiente,Si
Hoteles,7,62274,No,Ginebras,No
Restaurante,4,30960,Si,Whisky,Si
Cafeteria,8,356,No,Ron,No
Hoteles,4,26408,Si,Tequila,Si
Restaurante,7,95224,No,Vino,No
Cafeteria,6,51850,Si,Cerveza,Si
Hoteles,4,68914,No,Vodka,No
Restaurante,7,41881,Si,Mezcal,Si
Cafeteria,2,25765,No,Aguardiente,No
Hoteles,8,50843,Si,Ginebras,Si
Restaurante,6,24665,No,Whisky,No
Cafeteria,4,86432,Si,Ron,Si
Hoteles,7,39522,No,Tequila,No
Restaurante,6,82911,Si,Vino,Si
Cafeteria,4,82463,No,Cerveza,No
Hoteles,4,60236,Si,Vodka,Si
Restaurante,4,2299,No,Mezcal,No
Cafeteria,5,65631,Si,Aguardiente,Si
Hoteles,3,52996,No,Ginebras,No
Restaurante,3,80874,Si,Whisky,Si
Cafeteria,5,32567,No,Ron,No
Hoteles,5,52807,Si,Tequila,Si
Restaurante,3,70836,No,Vino,No
